epoch,train_loss,validation_score
1,1.2978990480360995,0.8144736842105263
2,0.722168022080109,0.8083333333333333
3,1.0172933211571902,0.8201754385964912
4,1.14866065704659,0.8236842105263158
5,0.8245771071122496,0.8223684210526315
6,0.7629085066153508,0.8307017543859649
7,0.6027286204215653,0.8223684210526315
8,0.42750168680447204,0.8381578947368421
9,0.34522078005037626,0.8473684210526315
10,1.0089939651019886,0.8276315789473684
11,0.5744656143478217,0.8451754385964912
12,0.4617593527816078,0.8429824561403508
13,0.4268299318205066,0.8381578947368421
14,0.4098972842207923,0.831140350877193
15,0.36680710462484084,0.8293859649122807
16,0.3905956005466358,0.837280701754386
17,0.4787561623557765,0.8526315789473684
18,0.3789950598686691,0.85
19,0.8736854711306916,0.8324561403508772
20,0.8056441571641108,0.849561403508772
21,0.35022521006315116,0.8521929824561404
22,0.6799852472990303,0.8451754385964912
23,0.34891993985885605,0.8403508771929824
24,0.32889512962079975,0.8280701754385965
25,0.3361726416984988,0.8491228070175438
26,0.35180897338762823,0.8451754385964912
27,0.554753273189531,0.8543859649122807
28,0.349549926439129,0.8508771929824561
29,0.4510387148421708,0.8144736842105263
30,0.43698338046038016,0.8478070175438597
31,0.3540137140760446,0.837280701754386
32,0.6115461217965155,0.8473684210526315
33,0.33093336350440816,0.8526315789473684
34,0.4373174260488681,0.8416666666666667
35,0.33047999114219034,0.8504385964912281
36,0.3535289956457051,0.8355263157894737
37,0.32784592696190484,0.843421052631579
38,0.34084620020063716,0.8355263157894737
