threshold,f1_weighted,recall_positive,precision_positive,predicted_positive_rate
0.2,0.8249317306233556,0.8809523809523809,0.5739612188365651,0.3694984646878199
0.21000000000000002,0.82867404083879,0.8767006802721088,0.5811724915445321,0.3631525076765609
0.22000000000000003,0.8322072355872673,0.8715986394557823,0.5884041331802525,0.3566018423746162
0.23,0.8354124029783447,0.8681972789115646,0.594988344988345,0.3512794268167861
0.24000000000000002,0.8376343024230949,0.8622448979591837,0.6003552397868561,0.3457523029682702
0.25,0.8400330560162378,0.8562925170068028,0.6062612883804936,0.34002047082906856
0.26,0.8421953964885336,0.8486394557823129,0.6122699386503068,0.3336745138178096
0.27,0.8446069906213659,0.8435374149659864,0.6184538653366584,0.3283520982599795
0.28,0.8455018250144146,0.8367346938775511,0.6219974715549936,0.32384851586489255
0.29000000000000004,0.8479579224997831,0.8333333333333334,0.6282051282051282,0.3193449334698055
0.30000000000000004,0.8496286809140541,0.8282312925170068,0.6332899869960988,0.3148413510747185
0.31000000000000005,0.8522119640748962,0.8231292517006803,0.6406353408338848,0.30931422722620266
0.32000000000000006,0.8547660527487586,0.8171768707482994,0.6484480431848852,0.30337768679631527
0.33000000000000007,0.857868875137965,0.8112244897959183,0.6579310344827586,0.2968270214943705
0.34,0.8598985783719941,0.8061224489795918,0.664796633941094,0.291914022517912
0.35000000000000003,0.8617768284035823,0.7967687074829932,0.673132183908046,0.2849539406345957
0.36000000000000004,0.8622314815325313,0.7840136054421769,0.6794399410464259,0.27778915046059366
0.37000000000000005,0.8644564717085749,0.7746598639455783,0.6896290688872067,0.27041965199590584
0.38000000000000006,0.8641860547318516,0.7585034013605442,0.6963309914129586,0.2622313203684749
0.39,0.8646872726014291,0.7482993197278912,0.7028753993610224,0.2562947799385875
0.4,0.8651751943626799,0.7380952380952381,0.7097301717089125,0.2503582395087001
0.41000000000000003,0.8662811521084889,0.7295918367346939,0.7179916317991631,0.24462640736949848
0.42000000000000004,0.8675729514934782,0.7253401360544217,0.7247238742565846,0.24094165813715457
0.43000000000000005,0.8704295397259791,0.7227891156462585,0.7359307359307359,0.23643807574206754
0.44000000000000006,0.8722060666492012,0.7168367346938775,0.7460176991150442,0.23132036847492324
0.45000000000000007,0.8738759393714941,0.7125850340136054,0.7549549549549549,0.22722620266120777
0.4600000000000001,0.8752399732622576,0.70578231292517,0.7649769585253456,0.22210849539406347
0.4700000000000001,0.8749131256193504,0.6989795918367347,0.7689429373246024,0.2188331627430911
0.48000000000000004,0.8757054862859625,0.6921768707482994,0.7774594078319007,0.2143295803480041
0.49000000000000005,0.8753219172043135,0.6845238095238095,0.782312925170068,0.21064483111566018
0.5,0.8743303346397958,0.6726190476190477,0.7886340977068793,0.2053224155578301
0.51,0.8734998352948182,0.6641156462585034,0.7928934010152284,0.2016376663254862
0.52,0.8726546613392266,0.6522108843537415,0.8006263048016702,0.19611054247697032
0.53,0.8696635664704987,0.6394557823129252,0.8,0.19242579324462641
0.54,0.8675828685297083,0.6267006802721088,0.8037077426390403,0.18771750255885364
0.55,0.8666790815689629,0.6181972789115646,0.8086763070077865,0.18403275332650973
0.56,0.8654624245514221,0.6079931972789115,0.8143507972665148,0.17973387922210848
0.5700000000000001,0.8632274542701052,0.5969387755102041,0.8162790697674419,0.17604912998976457
0.5800000000000001,0.8623992878484764,0.5875850340136054,0.8235995232419547,0.17175025588536336
0.5900000000000001,0.8602415871477691,0.5756802721088435,0.8276283618581907,0.16745138178096214
0.6000000000000001,0.8580468936600854,0.5612244897959183,0.8354430379746836,0.1617195496417605
0.6100000000000001,0.8571406967965433,0.5518707482993197,0.8439531859557867,0.15742067553735925
0.6200000000000001,0.8562127706922426,0.5425170068027211,0.8529411764705882,0.15312180143295803
0.6300000000000001,0.8543943292342724,0.5340136054421769,0.8555858310626703,0.1502558853633572
0.6400000000000001,0.8521527435080585,0.5229591836734694,0.8601398601398601,0.14636642784032752
0.6500000000000001,0.8508526605238642,0.5144557823129252,0.8667621776504298,0.1428863868986694
0.6600000000000001,0.8506219267744852,0.5076530612244898,0.8779411764705882,0.13920163766632548
0.6700000000000002,0.8467513543219705,0.49404761904761907,0.877643504531722,0.13551688843398157
0.6800000000000002,0.8454842541675461,0.4846938775510204,0.8878504672897196,0.1314227226202661
0.6900000000000002,0.842714393687071,0.4736394557823129,0.8912,0.12794268167860798
0.7000000000000002,0.8404657875409479,0.46258503401360546,0.8991735537190083,0.12384851586489252
0.7100000000000002,0.8349327554567725,0.44387755102040816,0.9,0.1187308085977482
0.7200000000000002,0.8299295002392284,0.42431972789115646,0.9089253187613844,0.11238485158648925
0.7300000000000002,0.8273143357747557,0.413265306122449,0.9169811320754717,0.10849539406345957
0.7400000000000002,0.8254591829634119,0.4013605442176871,0.9365079365079365,0.10317297850562948
0.7500000000000002,0.8209496698203326,0.3877551020408163,0.9363449691991786,0.09969293756397134
0.76,0.8180510725641845,0.3784013605442177,0.9388185654008439,0.0970317297850563
0.77,0.8155996986272898,0.3673469387755102,0.9536423841059603,0.09273285568065506
0.78,0.8146854521199065,0.3622448979591837,0.9638009049773756,0.09048106448311156
0.79,0.8123017304629944,0.35459183673469385,0.9675174013921114,0.08822927328556807
0.8,0.8078598411809969,0.34183673469387754,0.9686746987951808,0.0849539406345957
