experiment_id,dataset,model_family,pipeline_variant,cv_mean,cv_std,test_metric,notes,auc_pr_mean,roc_auc_mean,recall_positive_mean,runtime_sec,dropped_columns
m2_abl_05,adult_census_income,tree_hist_gradient_boosting,drop_education_text,0.8693126469075783,0.0028310162960194112,,"keep education.num, remove education text",0.8273066180855295,0.9271302850039393,0.6578618952500029,8.833447933197021,education
m2_abl_01,adult_census_income,tree_hist_gradient_boosting,reference,0.8688356076569791,0.002786915130009184,,reference on tree_hist_gradient_boosting,0.8274085056032014,0.9272971057043531,0.6565863515831387,9.723337888717651,
m2_abl_02,adult_census_income,tree_hist_gradient_boosting,no_class_weight,0.8688356076569791,0.002786915130009184,,remove class weighting where supported,0.8274085056032014,0.9272971057043531,0.6565863515831387,10.148038864135742,
m2_abl_03,adult_census_income,tree_hist_gradient_boosting,standard_scaler,0.8688356076569791,0.002786915130009184,,replace robust with standard scaler,0.8274085056032014,0.9272971057043531,0.6565863515831387,10.199204206466675,
m2_abl_04,adult_census_income,tree_hist_gradient_boosting,drop_fnlwgt,0.8680768704947326,0.0031236118736565634,,ablate final sample weight feature,0.827948824303664,0.9276422141654074,0.6551296548128445,15.839523077011108,fnlwgt
m2_abl_06,adult_census_income,tree_hist_gradient_boosting,drop_education_num,0.8680627120852268,0.0024867182192634674,,"keep education text, remove education.num",0.8279449091510843,0.92732386451516,0.6549491658821126,10.794975280761719,education.num
m2_abl_07,adult_census_income,tree_hist_gradient_boosting,no_capital_features,0.8380536766275606,0.0031693641707763575,,optional tie-break ablation,0.7187271970538358,0.8935944483430983,0.5962826254082587,7.941517114639282,"capital.gain,capital.loss"
